City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Abadiânia,21,BR,1585624364,64,-16.2,-48.71,21,2.6
Aliwal North,94,ZA,1585624614,50,-30.69,26.71,16.72,1.79
Kita,99,ML,1585624614,17,13.03,-9.49,30.67,2.77
Coquimbo,6,CL,1585624402,87,-29.95,-71.34,16,1.5
Raymond,90,US,1585624458,93,43.9,-70.47,1.67,3.6
Pullman,90,US,1585624615,69,46.73,-117.18,7,7.7
Povenets,0,RU,1585624615,94,62.85,34.83,-9.65,1.75
Sittwe,1,MM,1585624406,47,20.15,92.9,28.02,1.01
Camacha,40,PT,1585624616,77,33.08,-16.33,16,6.7
Kapustin Yar,27,RU,1585624616,59,48.58,45.74,8.29,2.41
Ugoofaaru,20,MV,1585624419,68,5.67,73,28.83,2.23
Hualmay,100,PE,1585624616,76,-11.1,-77.61,22.4,1.53
Palmer,90,US,1585624445,80,42.16,-72.33,5,2.6
Kilindoni,56,TZ,1585624617,74,-7.91,39.67,28.74,3.95
Neuquén,48,AR,1585624617,48,-38.95,-68.06,18,3.1
Doka,2,SD,1585624617,24,13.52,35.77,22.34,3.5
Vostok,100,RU,1585624617,38,46.49,135.88,9.36,5.06
Gallup,1,US,1585624618,23,35.53,-108.74,9,3.1
Ryōtsu-minato,14,JP,1585624618,62,38.08,138.43,11,4.6
Alto Araguaia,97,BR,1585624618,73,-17.31,-53.22,21.2,1.29
Stokmarknes,90,NO,1585624618,100,68.56,14.91,3.33,5.1
Ortigueira,68,BR,1585624618,71,-24.21,-50.95,18.8,0.81
Sakakah,0,SA,1585624619,21,29.97,40.21,17,2.6
Vanavara,100,RU,1585624619,88,60.34,102.28,0.65,4.89
Darhan,0,MN,1585624474,43,49.49,105.92,3.51,5.06
Kazachinskoye,100,RU,1585624619,88,57.7,93.28,2,5.59
Maricá,75,BR,1585624619,94,-22.92,-42.82,25,2.1
Porto-Novo,51,BJ,1585624620,82,6.5,2.6,26.94,3.14
São João da Barra,99,BR,1585624261,83,-21.64,-41.05,24.3,2.05
Nabire,33,ID,1585624620,62,-3.37,135.48,31.03,1.86
Sarti,82,GR,1585624620,77,40.1,23.98,11.49,3.67
Shishou,84,CN,1585624620,67,29.72,112.42,12.51,1.87
Sungai Penuh,11,ID,1585624621,48,-2.08,101.38,27.02,0.11
Manta,20,EC,1585624621,78,-0.95,-80.73,26,1.5
Tonj,65,SS,1585624621,45,7.27,28.68,25.81,0.57
Myanaung,37,MM,1585624621,41,18.28,95.32,31.2,3.62
Flin Flon,100,CA,1585624576,96,54.77,-101.86,-3.2,2.74
Singarāyakonda,0,IN,1585624622,48,15.25,80.03,29.51,2.88
Lucea,40,JM,1585624622,78,18.45,-78.17,27,1.5
La Ronge,90,CA,1585624324,78,55.1,-105.28,-12,6.2
Berlevåg,97,NO,1585624451,100,70.86,29.09,-7,7.7
Hofn,87,IS,1585624365,67,64.25,-15.21,5.24,7.57
Klaksvík,88,FO,1585624623,81,62.23,-6.59,6,8.7
Río Gallegos,1,AR,1585624623,75,-51.62,-69.22,7,5.7
Marabu,75,MY,1585624624,79,4.41,114.01,29,1.5
Quinto di Treviso,85,IT,1585624624,72,45.65,12.17,6,1
Camaçari,75,BR,1585624624,100,-12.7,-38.32,25,1.5
Nacala,7,MZ,1585624624,83,-14.54,40.67,23.32,5.85
Bilibino,100,RU,1585624625,88,68.05,166.44,-10.59,2.33
Marquette,40,US,1585624625,87,46.53,-87.63,0.56,7.2
Nome,1,US,1585624625,67,64.5,-165.41,-7.22,6.7
Lang Son,100,VN,1585624625,70,21.83,106.73,15.58,2.6
Salmās,20,IR,1585624625,69,38.2,44.77,2,1
Innisfail,58,AU,1585624626,81,-17.53,146.03,26.68,3.6
Basay,15,PH,1585624626,55,9.41,122.64,30.72,3.76
Inuvik,75,CA,1585624386,42,68.35,-133.72,-15,5.1
Lázaro Cárdenas,0,MX,1585624377,77,17.96,-102.2,24.34,1.71
Rongcheng,80,CN,1585624627,75,30.63,117.85,12.07,0.83
Nemuro,0,JP,1585624406,40,43.32,145.57,11,3.6
Rio Verde de Mato Grosso,26,BR,1585624449,71,-18.92,-54.84,23.83,2.19
Songjianghe,100,CN,1585624627,37,42.19,127.48,9.45,4.48
Duncan,75,US,1585624627,93,34.5,-97.96,12,7.2
Manavālakurichi,20,IN,1585624628,78,8.13,77.3,28,2.6
Henties Bay,23,NA,1585624412,89,-22.12,14.28,16.11,1.34
Huanren,100,CN,1585624628,37,41.26,125.37,12.26,4.21
Quelimane,40,MZ,1585624628,94,-17.88,36.89,21,1
Taganak,40,PH,1585624629,83,6.08,118.3,29,1.5
Nālūt,49,LY,1585624629,44,30.33,10.85,10.8,4.22
Lamar,90,US,1585624492,93,33.67,-95.58,12,2.6
Marfino,90,RU,1585624629,79,55.7,37.38,-2.78,7
Manaure,22,CO,1585624629,77,11.78,-72.44,25.71,7.47
Puerto del Rosario,20,ES,1585624375,77,28.5,-13.86,18,0.5
Ekhabi,100,RU,1585624630,98,53.51,142.97,0.84,3.18
Pevek,100,RU,1585624441,95,69.7,170.31,-9.82,1.86
Ciudad Real,100,ES,1585624631,94,39,-4,5.56,1.87
Ürümqi,0,CN,1585624631,41,43.8,87.6,5,2
Twentynine Palms,1,US,1585624631,21,34.14,-116.05,24,3.1
Morón,89,AR,1585624631,94,-34.65,-58.62,24,2.1
Dudinka,77,RU,1585624446,76,69.41,86.18,-20,3
Ukiah,90,US,1585624618,71,39.15,-123.21,13,2.1
Salalah,20,OM,1585624292,78,17.02,54.09,26,1.5
Koungou,28,YT,1585624632,83,-12.73,45.2,27,2.1
Gaziantep,89,TR,1585624598,93,37.06,37.38,5,1
Hornepayne,100,CA,1585624632,95,49.21,-84.77,-5.04,3.88
Shubarshi,100,KZ,1585624633,65,48.59,57.19,4.2,5.55
Kirando,83,TZ,1585624633,62,-7.42,30.6,23.23,2.39
Dubbo,0,AU,1585624633,69,-32.25,148.62,24,2.6
North Bend,90,US,1585624633,93,43.41,-124.22,9.44,5.7
Lompoc,2,US,1585624401,71,34.64,-120.46,16.11,5.1
Yar-Sale,11,RU,1585624634,94,66.83,70.83,-10.79,6.65
Ola,95,RU,1585624411,93,59.58,151.28,-6.43,5.97
Sakaiminato,75,JP,1585624634,67,35.55,133.23,16,6.7
Boueni,30,YT,1585624634,83,-12.9,45.08,27,2.1
Saint-Louis,9,SN,1585624634,21,16.33,-15,26.87,5.82
Forio,52,IT,1585624635,100,40.73,13.86,11.11,1
Juneau,75,US,1585624566,32,58.3,-134.42,-2,8.2
Tuy Hoa,35,VN,1585624491,57,13.08,109.3,30.08,1.46
Fairbanks,1,US,1585624635,27,64.84,-147.72,-3,5.7
Monrovia,41,LR,1585624500,89,6.3,-10.8,27.07,3.08
Vila,53,PT,1585624465,69,42.03,-8.16,7.22,4.1
Estelle,75,US,1585624636,88,29.85,-90.11,24.44,3.6
Belo Oriente,18,BR,1585624372,77,-19.22,-42.48,21.09,1.13
Fier,94,AL,1585624637,67,40.72,19.56,11.63,1.44
Rome,90,US,1585624564,87,43.21,-75.46,6.11,0.06
Madang,100,PG,1585624637,69,-5.22,145.8,29.37,3.41
Praia da Vitória,40,PT,1585624477,77,38.73,-27.07,15,12.58
Sibolga,99,ID,1585624386,58,1.74,98.78,31.05,0.24
Ambilobe,39,MG,1585624479,91,-13.2,49.05,24.11,0.6
Tabou,2,CI,1585624638,89,4.42,-7.35,26.18,2.77
Pedersore,96,FI,1585624638,58,63.65,22.68,-1.67,6.7
Arrondissement de Saint-Denis,1,FR,1585624638,85,48.92,2.33,3.89,4.6
Hatillo,5,PR,1585624639,88,18.49,-66.83,24.44,6.73
Sribne,88,UA,1585624639,89,50.66,32.92,-0.16,6.73
Pitkyaranta,0,RU,1585624639,89,61.57,31.48,-4.75,2.54
Olafsvik,100,IS,1585624399,91,64.89,-23.71,5.46,11.08
Miranda,75,CO,1585624180,73,3.25,-76.23,24,2.1
Gbarnga,88,LR,1585624640,92,7,-9.47,22.6,0.97
Longyearbyen,69,SJ,1585624326,64,78.22,15.64,-19,7.7
Lakes Entrance,0,AU,1585624640,52,-37.88,147.98,22.78,1.79
Shakiso,65,ET,1585624641,57,5.75,38.92,15.05,1.41
Vavozh,100,RU,1585624641,79,56.78,51.93,2.71,3.18
Simplício Mendes,98,BR,1585624641,86,-7.85,-41.91,22.31,1.5
Sirte,35,LY,1585624642,77,31.21,16.59,14.02,6.56
Massakory,4,TD,1585624642,24,13,15.73,29.58,2.34
Arcata,90,US,1585624642,87,40.87,-124.08,12,6.2
Uusikaupunki,31,FI,1585624642,92,60.8,21.41,-12,1
Bay Roberts,90,CA,1585624642,100,47.6,-53.26,-0.56,6.2
Yerbogachën,100,RU,1585624643,95,61.28,108.01,-2.17,4.56
Woodhaven,90,US,1585624428,80,42.14,-83.24,6.11,2.6
Dumas,40,US,1585624643,87,35.87,-101.97,10,1.5
Roxana,20,CR,1585624643,64,10.28,-83.75,23,6.2
Santa Lucía,20,ES,1585624524,77,27.91,-15.54,17,2.6
Albanel,90,CA,1585624644,86,48.88,-72.45,0,4.6
Teguise,75,ES,1585624400,88,29.06,-13.56,18,0.5
Lao Cai,35,VN,1585624644,53,22.48,103.95,27.38,1.33
Peniche,75,PT,1585624644,81,39.36,-9.38,7.78,3.6
Liwale,25,TZ,1585624645,84,-9.77,37.93,20.19,1.37
West Fargo,1,US,1585624637,56,46.88,-96.9,8,3.6
Grand Gaube,75,MU,1585624492,100,-20.01,57.66,25,2.1
Farafangana,4,MG,1585624645,85,-22.82,47.83,23.16,3.35
Martapura,18,ID,1585624645,61,-3.42,114.85,31.16,1.81
Brookhaven,20,US,1585624498,64,31.58,-90.44,20,1.5
Hay River,40,CA,1585624647,64,60.82,-115.8,-18,2.1
Laguna,75,US,1585624375,59,38.42,-121.42,18,3.6
Banyo,50,CM,1585624647,50,6.75,11.82,21.79,0.84
Muisne,100,EC,1585624506,80,0.6,-80.03,25.35,1.35
Zaysan,0,KZ,1585624357,67,47.47,84.87,-0.2,0.92
Vila Velha,75,BR,1585624359,83,-20.33,-40.29,26,1.5
Cam Ranh,20,VN,1585624648,70,11.92,109.16,31,3.1
Saint George,1,US,1585624162,31,37.1,-113.58,16,3.6
Adrar,1,MR,1585624649,19,20.5,-10.07,21,3.33
Havøysund,75,NO,1585624649,79,71,24.66,-5,19
Nioro,97,GM,1585624649,35,13.35,-15.75,25.39,3.07
Tomatlán,13,MX,1585624483,66,19.93,-105.25,22.5,2.7
Mossamedes,70,AO,1585624409,77,-15.2,12.15,22.34,2.54
Okha,100,RU,1585624649,97,53.57,142.95,0.73,2.76
Aloleng,4,PH,1585624650,52,16.13,119.78,31.32,1.01
Satipo,74,PE,1585624650,55,-11.25,-74.64,22.11,0.21
Tripoli,1,LY,1585624650,68,32.88,13.19,14.58,3.47
La Romana,20,DO,1585624650,73,18.43,-68.97,25,5.1
Zalegoshch',100,RU,1585624651,96,52.9,36.89,-1.64,5.4
Pitimbu,75,BR,1585624651,100,-7.47,-34.81,25,2.1
Shenkursk,12,RU,1585624651,95,62.11,42.9,-7.57,1.53
Mata,100,PT,1585624651,75,40.68,-7.46,3.33,4.92
Princeville,90,CA,1585624651,74,45.77,-61.3,0,1
Saint Andrews,75,US,1585624652,52,34.05,-81.13,20,1.5
Fare,20,PF,1585624652,77,-16.7,-151.02,28.94,6.49
Graaff-Reinet,36,ZA,1585624652,58,-32.25,24.53,22.78,0.89
Pochutla,5,MX,1585624400,56,15.74,-96.47,27.22,1.98
Port Hardy,75,CA,1585624453,86,50.7,-127.42,5,3.1
Mayor Pablo Lagerenza,99,PY,1585624653,68,-19.93,-60.77,26.47,2.03
Brighton,40,GB,1585624585,80,50.83,-0.14,4.44,4.1
Biak,28,ID,1585624653,67,-0.91,122.88,28.42,0.57
Zhangye,89,CN,1585624653,26,38.93,100.45,7.39,4.15
Magway,0,MM,1585624654,36,20.15,94.92,31.5,1.7
Nautla,2,MX,1585624654,82,20.22,-96.78,24.53,3.4
Lorengau,99,PG,1585624469,82,-2.02,147.27,27.52,4.39
Amazar,15,RU,1585624654,63,53.86,120.88,1,5.12
Senno,0,RU,1585624654,85,59.53,33.92,-5.43,1.85
Sebring,40,US,1585624655,73,27.5,-81.44,26,3.6
Sokoto,99,NG,1585624655,18,13.06,5.24,27.03,1.21
